"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9804759536.81031","8950386612.80216","5327833129.30445","4974157579.66486","5354705603.50387","5844198432.94977","6300253203.34117","6621742394.57029","7184981697.30371","7527115894.1806","8151779326.30288","9135524003.17559","10502118179.3831","12208787869.163","13853487621.1931","16273869613.1272","18990125434.4095","22176749551.127","24163709284.131","20884649142.4407","21603503567.4249","23085520248.3701","27043423649.5481","28572642912.7207","29343064966.5336","29315404012.9832","31629425029.462","35949453239.3726","38233278956.681","44365671088.179","43552758696.8095","47164867556.762","56893939956.673","63833326718.2115","69234115090.8141",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","819608596.224663","865771251.663144","895759895.279394","965408471.006148","1051852685.30775","1027086737.24417","1114970753.50882","1196252709.36757","1266931123.39748","1332498765.77347","1447217180.44904","1412500912.42759","1449186282.88348","1567598182.54281","1702588348.57241","1869648421.17262","2172230129.35438","2438910773.02227","2485553313.20349","2201706020.73879","2053740262.1647","2055053749.15776","2008004315.57078","1916318722.69576","1923668370.58425","1876287100.28153","1918178442.04757","1938005691.19943","2229888663.55951","2425768090.57419","2054603457.83519","2377570792.25983","2779062289.10061","2948949156.32379","3150959938.89349",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296612834071.745","308275135699.637","319054474737.501","338875878220.141","359150262656.584","378798712906.686","403354058864.168","426032065769.344","453620247395.633","479437912024.365","505056094140.601","532864799310.005","565994508002.305","594024458977.883","633138917180.184","666573991108.909","712648996565.745","763412360149.174","797546165740.298","874442486513.615","867452812307.34","938789002628.632","974432428747.204","1062294635632.22","1101098183876.09","1101816795436.34","1143265965868.5","1189571541596.14","1252748396187.98","1334462906706.38","1384652202439.55","1494437295625.78","1713614547048.26","1879379921223.82","1936797839321.65",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148819509148.477","159147311749.901","166181925077.453","171017172382.081","178864816865.662","187487608255.905","194340605239.241","201549397000.674","211617683713.168","219789588984.161","234055806855.059","237701257456.157","250154113650.079","259584438571.858","273948983717.384","286136493567.015","309214389032.941","325131802424.247","341570699090.85","339285440340.572","349089444117.312","370671977954.567","389098738029.221","402959936317.639","413263298435.022","428354580959.906","457782737463.172","473923403470.153","500696126093.052","535946931732.608","521841933098.152","563937063927.258","639574811164.391","643595441773.677","657343622086.766",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38334014156.1952","39352985332.7605","31153331563.877","24524769014.6719","20113882150.2631","18112406088.0933","18683773509.5905","20108311485.0318","22367731994.1694","24362892687.9096","27680297877.1662","31105625930.0004","34570665515.3766","38851951591.1894","43588677309.3803","57525596305.9818","79737913230.3882","102752139842.818","115824486185.483","127457981878.843","135184889342.106","135803575412.212","148678132524.431","162604723251.662","167470430285.624","145466446321.067","141837623390.756","141069643128.845","151909515454.013","167158106107.002","153047750160.236","203884098954.124","228717780540.74","240157347500.686","255978795310.91",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3341974403.15739","3627634055.21179","3747776547.11987","3597206497.23402","3533299257.75218","3321676918.71909","3111889882.22516","3115220514.25189","3299867398.27669","3312763465.95848","3358775149.08614","3505009079.34156","3717749557.01799","3744756275.15687","4031332237.01039","4195152422.91806","4558645467.73827","4843776399.62099","5177129800.90188","5407669583.83517","5753853444.3462","6109378663.94635","6434109700.67511","7175647231.46992","7822936123.43009","8809630118.7088","8676714933.88405","8759744160.76216","8935565006.18917","9549333185.98183","9923498550.19194","10847771568.5348","11836036574.1336","12588790450.8385","13343073380.4774",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186143914588.878","195966424619.526","203500309947.015","206320181481.636","217526046011.997","227383463991.073","230928998259.576","241579537994.353","248634626792.289","260168701709.78","284862666666.667","296218031614.831","312900377877.018","320981343828.761","334143156430.084","347658412088.972","371910293569.293","391020785776.548","405729462246.522","409034917983.614","434128146075.674","455271537460.137","471861624035.897","489497572460.263","506062503280.372","519562781951.127","548605717461.086","571670659099.524","599540192091.147","651568428663.064","647547562363.422","702925341289.817","796097823446.673","814029729290.6","856629284653.932",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6264447110.1242","6749974293.25169","7107990709.16455","7701140674.38752","8024491427.21248","8688007424.04865","9229636576.82599","9927215098.12597","10436421094.8374","11149451394.142","12069905284.8706","12999880781.759","13814866444.8602","14572733236.281","15627491674.7869","16393603609.2827","17565614139.7533","19121539964.5388","20444297274.8221","21047481282.7312","21753633405.3039","22860459982.9645","24393778410.0812","26896876069.4006","29454694903.9928","30961687093.8936","33245555033.1574","34745526935.4768","36720416644.3096","40076293090.6914","42407309934.6404","46467947984.7692","52893642973.6996","58278092338.3684","64135878351.0355",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5192843277.16224","5855373513.42645","6002745550.54567","6357733265.99342","6578873266.36329","7100769815.78973","8027218788.85307","8681454235.75325","9420568438.15163","10260410776.0297","10690983443.7214","11654669659.5725","12350989938.8874","13577548764.0047","14567076341.3202","16325164677.7767","17880926557.468","19120436926.0912","20619182899.137","21360854972.6256","23446574734.3389","25515102554.621","26992067760.1929","29071648205.4878","30284926912.3411","31763609326.839","36383537964.2514","40632395597.0095","42375183591.2275","46790489892.5012","51134807594.6267","54689652540.5665","59465954759.397","63429415199.2733","68201683192.8703",
